iter	MultiClass
0	0.9370650649
1	0.8095392953
2	0.7062887947
3	0.6225934405
4	0.5519092713
5	0.4922152978
6	0.4403971262
7	0.3946992975
8	0.3547718572
9	0.3204904988
10	0.2891403327
11	0.2619562587
12	0.2379277684
13	0.2164795266
14	0.1972449934
15	0.1798451798
16	0.1637690371
17	0.1493100863
18	0.1365780881
19	0.1247686848
20	0.1144454338
21	0.1046770875
22	0.09617242812
23	0.08836802115
24	0.08115970018
25	0.07439827543
26	0.06860283972
27	0.06313139176
28	0.05811073577
29	0.05364396692
30	0.04960213067
31	0.04584583491
32	0.04243496392
33	0.03931124041
34	0.03628517725
35	0.03375989215
36	0.03120286038
37	0.02891039722
38	0.02669048154
39	0.02467775613
40	0.02288336442
41	0.02123130153
42	0.01968835401
43	0.01826518018
44	0.01691828278
45	0.015897258
46	0.01493573852
47	0.01396073376
48	0.01300160835
49	0.01219916861
50	0.01143745717
51	0.01079734504
52	0.0100527484
53	0.009506107954
54	0.0089700698
55	0.008396847247
56	0.007949825686
57	0.007414838629
58	0.00699577365
59	0.006685409858
60	0.006322600121
61	0.005927773336
62	0.005638825103
63	0.00536022712
64	0.005104959846
65	0.004841686937
66	0.004641096112
67	0.004440838799
68	0.004269773134
69	0.004076999367
70	0.003920394715
71	0.00373425648
72	0.003538603334
73	0.003426003296
74	0.003254563248
75	0.003091407983
76	0.002929513974
77	0.002814294052
78	0.002680142367
79	0.002575632144
80	0.002446573389
81	0.002374843159
82	0.002265599156
83	0.002191664904
84	0.002092372822
85	0.00203606936
86	0.001991105492
87	0.001931346596
88	0.001902642848
89	0.001859916493
90	0.001808381065
91	0.00174957682
92	0.001709380572
93	0.001673498273
94	0.001614677416
95	0.00157860163
96	0.001544598471
97	0.001477406318
98	0.001448849014
99	0.001411347044
100	0.001384162215
101	0.001344986138
102	0.001315348783
103	0.001291797097
104	0.001254678599
105	0.001228676971
106	0.001196022314
107	0.001159642484
108	0.001130828473
109	0.001105050145
110	0.001077269052
111	0.001048933682
112	0.001034030304
113	0.001014587717
114	0.0009987650678
115	0.0009828568568
116	0.0009633531971
117	0.0009454662585
118	0.000930316078
119	0.000907141604
120	0.0008884937921
121	0.0008711334542
122	0.0008506686454
