iter	Passed	Remaining
402	9972	14773
403	9990	14738
404	10005	14699
405	10022	14663
406	10040	14629
407	10060	14597
408	10077	14561
409	10094	14525
410	10110	14489
411	10126	14452
412	10144	14417
413	10162	14385
414	10179	14348
415	10199	14317
416	10216	14283
417	10232	14246
418	10253	14217
419	10271	14184
420	10288	14150
421	10305	14115
422	10324	14083
423	10343	14051
424	10361	14018
425	10379	13985
426	10396	13951
427	10414	13918
428	10432	13886
429	10451	13854
430	10467	13819
431	10489	13791
432	10505	13756
433	10522	13722
434	10538	13687
435	10555	13654
436	10571	13619
437	10590	13588
438	10606	13554
439	10623	13520
440	10640	13487
441	10656	13453
442	10674	13420
443	10692	13389
444	10708	13355
445	10725	13322
446	10741	13288
447	10757	13254
448	10774	13222
449	10791	13189
450	10809	13157
451	10826	13126
452	10845	13096
453	10862	13064
454	10879	13031
455	10896	12999
456	10913	12967
457	10929	12933
458	10945	12900
459	10962	12869
460	10978	12836
461	10998	12808
462	11016	12777
463	11032	12744
464	11055	12719
465	11071	12687
466	11087	12654
467	11116	12636
468	11138	12610
469	11161	12586
470	11185	12562
471	11213	12544
472	11238	12521
473	11262	12498
474	11285	12473
475	11308	12448
476	11329	12421
477	11348	12393
478	11365	12362
479	11383	12332
480	11402	12303
481	11431	12285
482	11450	12256
483	11468	12226
484	11487	12197
485	11503	12166
486	11523	12138
487	11541	12109
488	11557	12077
489	11578	12051
490	11597	12022
491	11620	11998
492	11644	11975
493	11670	11954
494	11695	11931
495	11724	11913
496	11743	11885
497	11761	11856
498	11780	11827
499	11797	11797
500	11815	11767
501	11832	11738
502	11850	11709
503	11866	11677
504	11882	11647
505	11897	11615
506	11915	11586
507	11933	11557
508	11951	11528
509	11966	11497
510	11983	11467
511	12000	11437
512	12019	11410
513	12041	11385
514	12058	11356
515	12090	11340
516	12107	11311
517	12123	11281
518	12141	11252
519	12157	11221
520	12191	11208
521	12237	11206
522	12265	11187
523	12287	11161
524	12316	11143
525	12383	11159
526	12427	11154
527	12457	11136
528	12488	11119
529	12519	11101
530	12544	11079
531	12565	11054
532	12586	11027
533	12607	11002
534	12626	10974
535	12644	10946
536	12668	10922
537	12688	10896
538	12707	10868
539	12725	10840
540	12746	10814
541	12766	10787
542	12785	10760
543	12805	10734
544	12823	10706
545	12845	10680
546	12863	10653
547	12886	10629
548	12907	10603
549	12926	10576
550	12952	10554
551	12979	10533
552	13007	10514
553	13026	10487
554	13046	10460
555	13066	10434
556	13090	10411
557	13114	10388
558	13135	10362
559	13155	10336
560	13179	10313
561	13204	10291
562	13225	10265
563	13245	10239
564	13267	10214
565	13287	10188
566	13311	10165
567	13338	10145
568	13395	10146
569	13466	10158
570	13494	10138
571	13531	10124
572	13557	10103
573	13587	10084
574	13619	10066
575	13642	10042
576	13667	10019
577	13694	9998
578	13721	9977
579	13744	9952
580	13763	9925
581	13780	9897
582	13797	9869
583	13817	9842
584	13847	9823
585	13864	9795
586	13881	9766
587	13899	9739
588	13918	9712
589	13936	9684
590	13955	9657
591	13974	9631
592	13992	9603
593	14014	9579
594	14033	9552
595	14063	9532
596	14084	9507
597	14107	9483
598	14129	9459
599	14154	9436
600	14175	9411
601	14199	9387
602	14219	9361
603	14249	9342
604	14271	9317
605	14296	9295
606	14319	9271
607	14377	9269
608	14425	9261
609	14456	9242
610	14490	9225
611	14514	9202
612	14543	9181
613	14581	9166
614	14601	9140
615	14620	9113
616	14644	9090
617	14667	9066
618	14686	9039
619	14708	9014
620	14728	8988
621	14748	8962
622	14769	8937
623	14786	8909
624	14804	8882
625	14821	8855
626	14837	8826
627	14853	8798
628	14873	8772
629	14890	8744
630	14906	8716
631	14921	8688
632	14936	8659
633	14956	8633
634	14974	8607
635	14991	8580
636	15013	8555
637	15043	8535
638	15067	8512
639	15101	8494
640	15137	8477
641	15200	8476
642	15230	8456
643	15261	8436
644	15307	8424
645	15340	8406
646	15374	8388
647	15407	8369
648	15433	8347
649	15463	8326
650	15489	8303
651	15517	8282
652	15548	8262
653	15569	8237
654	15598	8215
655	15624	8193
656	15646	8168
657	15668	8143
658	15691	8119
659	15708	8092
660	15726	8065
661	15743	8038
662	15762	8012
663	15780	7985
664	15797	7957
665	15814	7931
666	15831	7903
667	15849	7877
668	15876	7855
669	15902	7832
670	15925	7808
671	15948	7784
672	15969	7759
673	15996	7737
674	16035	7720
675	16063	7699
676	16086	7674
677	16111	7651
678	16142	7631
679	16169	7609
680	16193	7585
681	16228	7566
682	16274	7553
683	16306	7533
684	16364	7525
685	16394	7504
686	16421	7481
687	16453	7461
688	16475	7436
689	16500	7413
690	16527	7390
691	16554	7368
